sepal_length,sepal_width,petal_length,petal_width,species,Notes
5.1,3.5,1.4,0.2,Iris-setosa,5.13.51.40.2Iris-setosa
4.9,3,1.4,0.2,Iris-setosa,4.931.40.2Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa,4.73.21.30.2Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa,4.63.11.50.2Iris-setosa
5,3.6,1.4,0.2,Iris-setosa,53.61.40.2Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa,5.43.91.70.4Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa,4.63.41.40.3Iris-setosa
5,3.4,1.5,0.2,Iris-setosa,53.41.50.2Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,4.42.91.40.2Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,4.93.11.50.1Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa,5.43.71.50.2Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa,4.83.41.60.2Iris-setosa
4.8,3,1.4,0.1,Iris-setosa,4.831.40.1Iris-setosa
4.3,3,1.1,0.1,Iris-setosa,4.331.10.1Iris-setosa
5.8,4,1.2,0.2,Iris-setosa,5.841.20.2Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa,5.74.41.50.4Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa,5.43.91.30.4Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa,5.13.51.40.3Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa,5.73.81.70.3Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa,5.13.81.50.3Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa,5.43.41.70.2Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa,5.13.71.50.4Iris-setosa
4.6,3.6,1,0.2,Iris-setosa,4.63.610.2Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa,5.13.31.70.5Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa,4.83.41.90.2Iris-setosa
5,3,1.6,0.2,Iris-setosa,531.60.2Iris-setosa
5,3.4,1.6,0.4,Iris-setosa,53.41.60.4Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa,5.23.51.50.2Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa,5.23.41.40.2Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa,4.73.21.60.2Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa,4.83.11.60.2Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa,5.43.41.50.4Iris-setosa
